Автор,Количество книг,Список книг
Тармашев Сергей Сергеевич,24,"Ареал 5-8 (уникальное лимитированное издание), <br>Ареал 5-8 (подарочное издание), <br>Ареал 1-4 (уникальное лимитированное издание), <br>Ареал 1-4 (подарочное издание), <br>Древний. Предыстория 4-6 (уникальное лимитированное издание), <br>Древний. Предыстория 4-6 (подарочное издание), <br>Жажда власти 5. Фрагментация, <br>Холод (3 книги в 1) (уникальное лимитированное издание), <br>Холод (3 книги в 1), <br>Каждому своё 1-4 (уникальное лимитированное издание), <br>НАСЛЕДИЕ. НАСЛЕДИЕ 2, <br>Каждому своё 1-4 (подарочное издание), <br>Древний. Вторжение. Расплата. Возрождение. Час воздаяния (уникальное лимитированное издание), <br>Жажда власти 4. Рестарт, <br>Чистилище. Чистилище: Финал, <br>Древний. Расплата, <br>Древний. Возрождение, <br>Древний. Час воздаяния, <br>Древний. Война, <br>Древний. Корпорация, <br>Древний. Вторжение, <br>Тьма. Закат Тьмы. Конец Тьмы (уникальное лимитированное издание), <br>Тьма. Закат Тьмы. Конец Тьмы (подарочное издание), <br>Древний. Предыстория. Книга третья. Непокорённые"
Трофимов Ерофей,23,"Дитя прибоя, <br>Бродяга. Драку заказывали?, <br>Сотня. Смутное время, <br>Проект «Валькирия», <br>Шатун, <br>Сотня. Казачий крест, <br>Дворянин поневоле, <br>Одиночка. Горные тропы, <br>Одиночка, <br>Казачья кровь, <br>Казачий спас, <br>Позывной «Оборотень», <br>Бродяга. Звёздные закоулки, <br>Шатун. Шаг в неизвестность, <br>Северный дракон, <br>Последний рейд, <br>Рокировка, <br>Шатун. Лесной гамбит, <br>Поступь Слейпнира, <br>Шатун, <br>Одиночка. Кровавая вира, <br>Бродяга, <br>Одиночка. Честь и кровь"
Рэй Брэдбери,23,"Лето, прощай, <br>Полуночный танец дракона, <br>Давайте все убьем Констанцию, <br>У нас всегда будет Париж, <br>Надвигается беда, <br>Из праха восставшие, <br>В мгновенье ока, <br>451' по Фаренгейту, <br>Вино из одуванчиков, <br>Марсианские хроники, <br>Вино из одуванчиков, <br>Механизмы радости, <br>Летнее утро, летняя ночь, <br>Темный карнавал, <br>Механизмы радости, <br>Марсианские хроники, <br>Вино из одуванчиков, <br>Машина до Килиманджаро, <br>451' по Фаренгейту. Рассказы, <br>451' по Фаренгейту, <br>451' по Фаренгейту, <br>Лето, прощай, <br>Зеленые тени, Белый Кит"
Филип К. Дик,22,"Предпоследняя правда, <br>Кланы альфанской луны, <br>Вспомнить все, <br>Око небесное, <br>Особое мнение, <br>Убик, <br>Молот Вулкана, <br>Сдвиг времени по-марсиански, <br>Лабиринт смерти, <br>Порвалась дней связующая нить, <br>Стигматы Палмера Элдрича, <br>Золотой человек, <br>Свободное радио Альбемута, <br>Помутнение, <br>Человек в Высоком замке, <br>Мы вас построим, <br>Порог между мирами, <br>Симулякры, <br>Когда наступит прошлый год, <br>Блуждающая реальность, <br>Игроки с Титана, <br>Мечтают ли андроиды об электроовцах?"
Лисина Александра,20,"Леди-призрак (дилогия), <br>Ведьма, маг и каменный котел, <br>Вильгельм. Вестник, <br>Вильгельм. Проклятие Саана, <br>Артур Рэйш. Проклятие королей. Слуги хаоса, <br>Артур Рэйш. Когда темные боги шутят. Охотник за душами, <br>Вильгельм. Ученик колдуна, <br>Артур Рэйш. Слуги хаоса, <br>Трое из академии. Трое в долине, <br>Трое из академии. Трое в столице, <br>Трое из академии. Трое на каникулах, <br>Изоморф. Наблюдатель, <br>Изоморф. Магистр, <br>Изоморф. Маг, <br>Изоморф. Каратель, <br>Изоморф. Вор, <br>Артур Рэйш. Проклятие королей, <br>Бас. Любимица Иллари, <br>Скрижаль альтера, <br>Гибрид. Протокол ""Наследник"""
Клэр Кассандра,20,"Орудия смерти. Город праха, <br>Город стекла, <br>Орудия смерти. Город Небесного огня, <br>Орудия смерти. Город стекла, <br>Орудия смерти. Город костей, <br>Город праха, <br>Орудия смерти. Город падших ангелов, <br>Ловец мечей, <br>Город костей, <br>Последние часы. Книга I. Золотая цепь, <br>Последние часы. Книга III. Терновая цепь, <br>Темные искусства. Лорд Теней, <br>Темные искусства. Королева воздуха и тьмы, <br>Темные искусства. Леди Полночь, <br>Орудия смерти. Город потерянных душ, <br>Механическая принцесса, <br>Темные искусства. Лорд теней, <br>Последние часы. Книга II. Железная цепь, <br>Древние проклятия. Том 2. Потерянная Белая книга, <br>Адские механизмы. Том 2. Механический принц"
Сапковский Анджей,20,"Сезон гроз, <br>Кровь эльфов, <br>Последнее желание. Меч предназначения, <br>Кровь эльфов. Час презрения, <br>Меч Предназначения, <br>Час Презрения, <br>Сезон гроз. Дорога без возврата (новый перевод), <br>Владычица Озера, <br>Башня Ласточки, <br>Крещение огнем. Башня Ласточки, <br>Дорога без возврата, <br>Владычица озера, <br>Ведьмак: Когти и клыки, <br>Крещение огнем, <br>Цири, <br>Ведьмак с иллюстрациями Тимотэ Монтеня, <br>Ведьмак. Последнее желание с иллюстрациями Микаэля Бургуэна, <br>Ведьмак: Меч Предназначения, <br>Кровь эльфов, <br>Сезон гроз. Дорога без возврата"
Герберт Фрэнк,20,"Дети Дюны, <br>Мессия Дюны, <br>Дюна, <br>Мессия Дюны. Дети Дюны, <br>Капитул Дюны, <br>Дюна, <br>Дюна, <br>Бог-Император Дюны, <br>Дети Дюны, <br>Мессия Дюны. Дети Дюны, <br>Капитул Дюны, <br>Дюна: Бог-Император Дюны. Еретики Дюны. Капитул Дюны, <br>Дюна: Дюна. Мессия Дюны. Дети Дюны, <br>Еретики Дюны, <br>Бог-Император Дюны, <br>Еретики Дюны, <br>Дюна, <br>Дюна, <br>Термитник Хеллстрома, <br>Машина бытия"
Галина Гончарова,20,"Устинья. Возвращение, <br>Дракон цвета смерти, <br>Времена года. Красная зима, <br>Ветер и крылья. Новые дороги, <br>Ветер и крылья. Старые дороги, <br>Времена года. Белая весна, <br>Времена года. Черная осень, <br>Отражение. Зеркало надежды, <br>Замок над морем. Книга третья. Сила рода, <br>Ветана. Дар жизни, <br>Айшет. Магия разума, <br>Ветана. Дар исцеления, <br>Маруся. Попасть — не напасть, <br>Маруся. Столичные игры, <br>Ветана. Дар смерти, <br>Айшет. Магия чувств, <br>Маруся. Провинциальные игры, <br>Отражение. Зеркало надежды, <br>Отражение. Зеркало отчаяния, <br>Азъ есмь Софья. Царевна"
другие,3360,-
