gender,age
female,36
male,29
male,38
female,45
male,37
female,55
male,47
male,36
male,60
male,57
male,37
male,39
female,47
male,35
male,47
male,39
male,36
female,48
male,50
male,35
male,67
male,35
male,45
female,36
female,30
male,30
male,76
male,49
male,46
female,36
male,25
male,59
male,49
female,39
female,49
male,35
male,35
male,39
male,35
male,45
male,35
male,60
male,38
male,38
male,40
male,57
female,30
male,46
male,48
male,45
male,47
male,35
female,47
male,47
male,37
male,50
female,30
male,60
female,56
male,40
male,46
male,39
male,45
male,50
male,40
male,40
male,60
female,35
male,50
male,39
male,45
male,40
male,45
male,36
male,45
male,38
male,37
male,57
male,59
male,39
female,37
male,49
male,58
male,48
male,36
male,47
male,35
male,40
male,49
male,40
female,30
male,49
male,59
male,45
male,36
female,49
male,35
male,36
female,68
male,25
male,45
female,45
male,50
male,45
male,69
male,66
male,47
male,50
male,36
male,46
female,48
male,29
male,50
male,45
male,39
male,37
male,36
female,35
male,55
male,48
male,40
male,48
female,40
male,47
male,38
male,56
female,48
male,36
male,60
male,45
male,48
female,49
female,60
female,37
male,49
male,35
male,39
male,49
male,38
male,36
male,35
male,36
male,28
male,30
male,35
male,50
male,48
female,36
male,65
male,26
female,40
male,39
male,46
female,29
male,40
male,75
male,46
male,28
female,40
female,48
male,65
male,45
male,56
male,39
female,38
male,47
male,47
female,48
female,37
male,39
male,49
male,47
male,60
male,55
female,60
female,48
male,39
male,90
male,45
male,48
male,50
female,38
male,35
male,39
male,39
male,39
male,48
male,68
male,37
female,46
male,69
male,38
male,47
male,36
female,38
male,35
female,40
female,38
male,38
female,30
male,38
female,36
male,46
male,50
male,36
male,57
male,28
male,36
male,35
male,36
male,37
male,45
male,37
female,36
male,36
male,37
male,39
female,38
female,35
male,40
male,37
male,68
male,68
male,37
male,38
male,50
male,69
male,37
female,35
male,47
male,36
male,47
male,69
male,38
male,37
male,45
male,47
male,45
male,47
male,25
male,58
male,38
male,55
male,35
male,30
male,37
male,38
male,36
male,59
female,40
male,28
male,57
female,40
female,58
male,38
female,30
male,37
female,37
male,48
male,50
male,35
male,35
male,48
female,38
male,59
male,49
male,35
male,37
male,37
male,47
male,49
male,40
male,50
male,58
male,40
male,35
female,39
male,46
male,45
male,35
male,38
male,36
male,38
male,39
male,38
male,48
male,29
male,46
female,39
male,48
male,49
male,35
male,69
male,39
male,45
female,40
male,45
male,50
male,38
female,50
female,49
female,39
male,26
male,47
female,36
male,39
male,47
female,39
male,48
male,37
male,40
female,40
male,30
male,37
female,38
male,46
male,37
male,46
male,46
female,46
male,38
male,30
male,38
male,37
male,50
male,36
male,27
male,36
male,48
male,39
male,48
male,46
male,55
female,58
male,55
male,45
male,48
male,40
male,47
female,40
male,38
male,38
male,37
male,49
male,47
male,36
female,36
male,49
male,45
male,45
male,49
male,39
male,40
male,45
male,45
male,46
male,37
male,47
male,38
male,37
male,45
male,38
male,40
male,35
female,30
male,37
male,56
male,20
male,39
male,47
male,50
male,30
male,40
male,37
male,39
male,37
male,56
male,46
male,38
male,59
female,47
female,37
male,45
female,40
female,28
male,30
male,36
male,37
male,48
male,37
male,65
male,55
male,45
male,39
male,35
male,56
male,35
female,37
male,39
female,38
male,38
male,45
male,70
male,49
male,35
male,36
male,38
female,39
male,46
male,46
male,60
female,37
male,27
male,60
male,37
male,47
male,40
female,26
female,40
male,95
female,47
male,48
female,39
male,28
male,50
male,40
female,29
male,49
male,45
male,49
male,50
male,50
male,40
female,37
male,39
male,38
male,36
male,38
male,50
male,49
male,39
male,37
male,40
male,35
female,35
male,40
female,66
female,49
female,28
female,39
male,39
male,47
male,45
female,37
male,27
male,38
male,39
male,39
male,39
male,29
male,39
male,39
female,36
male,58
male,70
male,65
male,36
male,38
female,35
male,56
male,46
male,49
male,48
male,29
male,68
male,47
male,50
male,40
female,25
female,25
female,36
male,107
male,55
male,46
male,38
male,30
male,55
female,56
female,35
male,39
male,46
male,37
female,38
male,28
male,68
male,50
male,39
male,38
male,46
male,28
female,37
male,48
male,55
male,39
male,45
male,48
male,35
male,49
male,37
male,38
male,40
male,30
male,45
male,30
male,68
male,36
male,36
male,35
female,38
female,38
male,36
female,36
male,40
female,39
male,37
male,38
male,36
male,49
female,35
male,36
female,38
male,36
male,36
male,38
male,30
male,57
female,39
male,40
male,45
male,36
male,35
male,49
male,38
male,46
male,50
male,47
male,39
male,37
male,37
male,39
male,40
female,39
male,46
male,39
female,36
male,49
male,47
female,35
male,39
female,40
female,40
male,36
male,48
male,37
male,26
male,29
male,37
male,39
female,47
female,35
male,38
male,69
female,46
male,39
male,37
female,39
female,27
female,35
male,49
female,25
male,40
male,45
male,68
male,46
female,58
male,48
male,35
male,47
female,37
female,36
male,35
male,37
male,38
male,39
male,37
male,16
male,45
male,57
female,38
male,38
male,35
female,28
male,40
male,39
male,38
male,49
male,48
male,38
female,40
male,67
male,36
male,35
male,40
male,69
male,36
male,46
male,30
female,47
male,38
female,35
male,30
female,40
male,38
male,45
female,40
male,59
male,56
male,37
female,39
male,109
male,45
female,36
female,37
male,35
female,55
female,38
male,46
male,69
female,12
male,56
male,37
female,28
male,39
female,45
female,45
male,36
male,40
male,39
male,56
male,39
male,46
male,39
male,40
male,37
male,38
male,37
female,46
male,46
male,36
female,39
female,35
female,38
male,48
male,50
male,37
male,40
male,39
female,30
male,47
female,35
male,45
male,49
female,40
male,37
male,55
male,45
male,37
male,47
male,67
male,50
male,37
male,47
female,45
male,50
male,35
male,40
female,46
female,28
male,30
male,56
male,40
male,25
male,39
male,35
female,37
male,47
male,46
male,36
male,38
male,59
male,110
male,36
male,45
male,59
female,45
male,45
male,45
male,46
female,36
female,45
male,49
male,39
male,35
male,48
male,46
male,56
male,38
female,38
male,47
male,29
male,47
female,27
female,29
male,47
female,39
female,37
male,35
male,60
male,47
male,60
male,49
male,45
female,40
male,57
male,37
female,39
female,38
male,47
male,45
male,45
male,56
male,38
male,48
male,39
female,49
female,39
male,40
female,40
male,35
male,50
male,55
male,39
male,40
male,35
female,39
male,38
male,47
male,48
female,37
female,36
male,39
male,35
female,37
male,48
male,35
male,39
male,47
male,50
male,30
male,35
male,46
male,48
male,36
male,38
